04/21/2016 07:29:46 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:52:48 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:53:02 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:53:37 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:53:55 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:54:19 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:54:39 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:55:47 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:58:26 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 10:58:46 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:07:13 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:07:54 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:11:21 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:11:56 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:12:13 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:13:16 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:16:04 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:21:28 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:23:39 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:25:48 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:26:08 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:32:18 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 11:33:39 am  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:02:31 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:13:30 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:14:27 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:15:14 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:19:17 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:21:06 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:22:18 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:24:10 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:25:45 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:26:21 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:26:50 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:27:41 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 04:27:55 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:28:09 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:29:33 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:29:45 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:30:00 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:31:25 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:31:32 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:37:00 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:51:00 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:51:29 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:52:51 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:53:09 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:55:59 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:56:21 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 05:58:53 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 06:08:22 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 06:15:59 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 06:20:09 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 06:20:34 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 06:30:52 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 06:31:28 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 06:32:55 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 06:33:47 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
05/09/2016 07:49:06 pm  127.0.0.1 Your browser: Google Chrome 49.0.2623.112 on windows reports: <br >Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
